Patient ID,Pearson Correlation,Mutual Information,Bland Altman
Pat8,0.7701434702494774,5.179328877248141,608/660
Pat9,0.7758968270206384,5.30766935978731,553/589
Pat11,0.7408649022565298,5.359451595399618,542/572
Pat13,0.680630894865655,5.0310489177846875,525/546
Pat14,0.6514669659924259,5.13978204140322,433/468
Pat15,0.6704102215467608,5.319390504522314,515/552
Pat16,-0.00884932469297682,0.8211805755780596,475/502
Pat17,0.7284602436620734,5.180073076683622,578/621
Pat19,0.5957758830474927,5.004952263261298,586/623
Pat21,0.56259196585282,5.269376048611779,583/610
Pat23,0.648952099842104,5.457910426192415,632/662
Pat24,0.7387969958218977,5.172342784739423,522/546
Pat25,0.5777061815173871,5.232599013333032,549/591
Pat27,0.6719096274180069,5.308949453428017,677/712
Pat29,0.2775385551803271,5.293565553696725,636/678
Pat30,0.5512513074119705,5.261908434514934,648/683
Pat31,0.6467970793138023,4.887982154469014,607/633
Pat32,0.7176567033077071,4.825438535383637,526/559
Pat33,0.42833581574755536,4.995202440303844,609/650
Pat34,0.6864316414310394,5.131563579440841,602/637
Pat35,0.6558854039283304,4.853644510518191,270/281
Pat36,0.6132550534042284,5.255981207510332,716/742
Pat38,0.6015740132733379,5.018433524037771,537/571
Pat40,-0.08397644391853121,1.1283816802447748,321/340
Pat41,0.5206499496250689,5.040724369953653,672/719
Pat42,0.6897274677821795,4.8506445124648145,469/485
Pat44,0.5544978933816377,4.98826389048524,541/569
Pat46,0.7889717488402735,5.3615305228493675,604/630
Pat47,0.46486384110280454,4.757227610061955,457/483
Pat48,0.021210073546951865,5.207781246105791,626/670
Pat49,0.5029404148625518,4.93510995043583,501/527
Pat50,0.4748249029877798,5.126125016868936,662/698
Pat51,0.8077119488449618,5.349144278075563,633/656
Pat52,0.5701972156936972,5.27860373605542,664/700
Pat54,0.6654219931472536,5.151090231617164,570/602
Pat57,0.6573702184362484,5.260551914982585,568/600
Pat58,0.6410321411674095,4.909734768388814,485/511
Pat62,0.6762371612971037,5.242169723791317,652/685
Pat68,0.6590013743886342,5.160927090007222,393/416
Pat76,0.6006830402144748,4.892990973074373,503/537
Pat77,0.473874375963969,5.202250349436046,716/758
Pat79,0.6029600025659123,5.071645293338671,547/570
Pat80,0.5523549288175404,4.892598608578025,489/516
Pat81,0.5105798536223893,5.08848052095192,640/671
Pat83,0.5115665908738656,4.985610768326833,551/585
Pat86,0.6650139339997089,5.151767453154087,549/573
Pat87,0.5237669372301458,4.9455053722964575,536/571
Pat88,0.558242700303474,5.124410370642838,689/717
Pat90,0.7870814343370027,5.317948021121252,563/583
Pat91,0.6706703824062812,5.115921901842699,562/589
Pat92,0.5916190096854855,5.158218257690201,663/704
Pat93,0.6243319198581287,5.041124090433193,501/525
Pat94,0.7325990572661338,5.068616139033612,577/602
Pat95,0.5584672858579345,4.981278384931352,476/499
Pat99,0.5185660680215012,5.473825790675421,658/692
Pat100,0.5144441565938921,5.228802100756548,517/535
Pat101,0.763865398264114,5.233282823922441,589/623
Pat102,0.8139669389776697,5.133804745498778,546/564
Pat103,0.6296923688921444,5.073661486893766,499/517
Pat104,0.5329013254164482,5.241209473283581,675/708
Pat105,0.6537777748549966,5.162783417932451,529/545
Pat107,0.6278915698117007,5.282725961804037,584/613
Pat109,0.613076682793505,5.095390894830231,567/596
Pat112,0.443994660732788,5.265460246494454,544/572
Pat113,0.5441684311127414,5.342324243648838,549/585
Pat114,0.691368825795044,5.253044379984911,619/647
Pat115,0.5842167180084055,5.283042028800281,576/612
Pat116,0.4874683309738055,5.142017728634277,563/588
Pat118,0.7133673575753682,5.020629436685416,571/606
Pat119,0.33699998048484814,5.445525874226053,669/707
Pat120,0.7205049833335092,5.191339646684951,514/538
Pat122,0.6818524672710644,5.4945344162213905,642/661
Pat124,0.4944770804630331,4.85977728568886,471/504
Pat125,0.8220799540860841,4.998151107719699,500/526
Pat126,0.541994928709411,5.4114210484974485,652/687
Pat127,-0.09392507506683166,1.7296252502257954,512/538
Pat128,0.7176985303783459,5.000979200946018,481/516
Pat129,0.5999957994099033,5.129771061746306,536/564
Pat130,0.31007099421215073,5.29852677620281,573/609
Pat132,0.5948271387853291,4.927886333076537,490/520
Pat133,0.5475528740333877,4.930563562160353,515/540
Pat134,0.6411569205771033,5.0274337784366026,572/599
Pat135,0.455860999718523,5.116922438356619,548/577
Pat136,0.6974196875259319,5.014366063930037,524/549
Pat137,0.39023658531589694,5.0184200171306115,465/489
Pat138,0.748512854521042,4.943826312792914,520/556
Pat139,0.684387227138239,5.038565453796785,561/592
Pat140,0.5959295209491282,5.2284915308037405,585/622
Pat141,0.6062134871116321,5.0955043808124785,485/514
Pat143,0.5710751403815466,5.230214554423677,641/688
Pat144,0.7897659742434405,5.353465463349986,569/603
Pat145,0.5920961535689546,5.232600062394606,532/568
Pat146,0.6474369711335036,5.03342290335457,487/510
Pat147,0.6293554401858008,5.100552854685329,570/611
Pat174,0.6773124896395535,5.133782129801997,526/559
